param n:=35;
param p:=26;
   
param: E : c := 
17 30  1
17 29  1
17 28  1
17 27  1
16 30  1
16 27  1
15 31  1
15 28  1
15 27  1
13 30  1
13 29  1
13 28  1
18 34  1
18 35  1
13 27  1
12 35  1
12 34  1
12 33  1
19 31  1
10 35  1
19 33  1
19 34  1
19 35  1
10 34  1
10 33  1
 9 35  1
 9 34  1
 9 33  1
 8 35  1
20 33  1
20 34  1
20 35  1
21 27  1
21 28  1
21 29  1
21 30  1
 8 34  1
 8 33  1
 8 31  1
 7 35  1
 7 34  1
 7 33  1
 7 32  1
 6 35  1
 6 34  1
22 31  1
 6 33  1
22 33  1
22 34  1
22 35  1
 6 32  1
 5 33  1
 5 32  1
 5 31  1
 5 30  1
23 32  1
23 33  1
23 34  1
23 35  1
24 27  1
24 28  1
24 29  1
 4 31  1
24 31  1
 4 30  1
 4 28  1
 4 27  1
 3 30  1
25 27  1
25 28  1
25 29  1
25 30  1
 3 29  1
 3 28  1
 2 30  1
 2 29  1
 2 28  1
26 27  1
26 28  1
26 29  1
26 30  1
 2 27  1
 1 30  1
 1 29  1
 1 28  1
 1 27  1;

