param n:=35;
param p:=26;
   
param: E : c := 
13 35  1
26 34  1
26 33  1
26 32  1
 1 31  1
 1 32  1
 1 33  1
 1 34  1
 1 35  1
26 31  1
25 35  1
25 34  1
25 33  1
 2 31  1
 2 32  1
 2 33  1
 2 34  1
 2 35  1
 3 27  1
25 32  1
25 31  1
24 35  1
 3 31  1
 3 32  1
 3 33  1
 3 34  1
 3 35  1
24 34  1
24 33  1
 4 29  1
24 32  1
24 30  1
 4 32  1
 4 33  1
 4 34  1
 4 35  1
 5 27  1
 5 28  1
 5 29  1
23 31  1
23 30  1
23 29  1
23 28  1
 5 34  1
 5 35  1
 6 27  1
 6 28  1
 6 29  1
 6 30  1
 6 31  1
23 27  1
22 32  1
22 30  1
22 29  1
 7 27  1
 7 28  1
 7 29  1
 7 30  1
 7 31  1
22 28  1
22 27  1
21 35  1
21 34  1
 8 27  1
 8 28  1
 8 29  1
 8 30  1
21 33  1
 8 32  1
21 32  1
21 31  1
20 32  1
 9 27  1
 9 28  1
 9 29  1
 9 30  1
 9 31  1
 9 32  1
20 31  1
20 30  1
20 29  1
10 27  1
10 28  1
10 29  1
10 30  1
10 31  1
10 32  1
20 28  1
20 27  1
19 32  1
11 27  1
11 28  1
11 29  1
11 30  1
11 31  1
11 32  1
11 33  1
11 34  1
11 35  1
12 27  1
12 28  1
12 29  1
12 30  1
12 31  1
12 32  1
19 30  1
19 29  1
19 28  1
19 27  1
18 33  1
18 32  1
18 31  1
13 31  1
13 32  1
13 33  1
13 34  1
26 35  1
14 28  1
14 29  1
14 30  1
14 31  1
14 32  1
14 33  1
14 34  1
14 35  1
18 30  1
18 29  1
15 29  1
15 30  1
18 28  1
15 32  1
15 33  1
15 34  1
15 35  1
18 27  1
16 28  1
16 29  1
17 35  1
16 31  1
16 32  1
16 33  1
16 34  1
16 35  1
17 34  1
17 33  1
17 32  1
17 31  1;
