  param n:=59;
  param p:=50;
   
  param: E : c := 
1 51 1
1 52 1
1 53 1
1 54 1
1 55 1
1 56 1
1 57 1
1 58 1
1 59 1
2 51 1
2 52 1
2 53 1
2 55 1
2 56 1
2 57 1
2 58 1
3 51 1
4 52 1
4 53 1
4 54 1
4 55 1
4 56 1
4 57 1
4 58 1
4 59 1
5 51 1
5 58 1
6 51 1
7 51 1
7 52 1
7 53 1
7 54 1
7 55 1
7 56 1
7 58 1
7 59 1
8 51 1
8 59 1
9 51 1
9 58 1
10 51 1
10 52 1
10 53 1
10 55 1
10 56 1
10 57 1
10 58 1
11 51 1
11 59 1
12 51 1
12 52 1
12 53 1
12 54 1
12 55 1
12 56 1
12 58 1
12 59 1
13 52 1
13 53 1
13 55 1
13 56 1
13 57 1
14 51 1
14 56 1
14 57 1
14 58 1
15 51 1
16 51 1
16 52 1
16 53 1
16 55 1
16 56 1
16 57 1
16 58 1
17 51 1
18 56 1
18 59 1
19 51 1
19 52 1
19 53 1
19 54 1
19 55 1
19 57 1
19 58 1
20 52 1
20 53 1
20 56 1
20 57 1
20 58 1
20 59 1
21 51 1
21 52 1
21 53 1
21 54 1
21 55 1
21 56 1
21 57 1
21 59 1
22 51 1
23 51 1
24 51 1
24 52 1
24 53 1
24 55 1
24 56 1
24 57 1
24 58 1
25 51 1
26 51 1
27 51 1
28 51 1
28 58 1
28 59 1
29 51 1
29 52 1
29 53 1
29 54 1
29 55 1
29 56 1
29 57 1
30 52 1
30 53 1
30 55 1
30 56 1
30 58 1
30 59 1
31 51 1
31 52 1
31 53 1
32 52 1
32 53 1
32 56 1
32 59 1
33 57 1
33 58 1
33 59 1
34 51 1
34 52 1
34 53 1
34 54 1
34 55 1
34 56 1
34 57 1
34 58 1
35 51 1
35 52 1
35 53 1
35 55 1
35 56 1
35 57 1
35 59 1
36 51 1
36 52 1
36 53 1
36 54 1
36 55 1
36 56 1
36 57 1
36 58 1
37 51 1
38 52 1
38 53 1
38 56 1
38 57 1
38 58 1
39 51 1
39 52 1
39 53 1
39 54 1
39 55 1
39 56 1
39 57 1
39 59 1
40 52 1
40 53 1
40 55 1
40 59 1
41 52 1
41 53 1
41 54 1
41 55 1
41 56 1
42 51 1
42 52 1
42 53 1
42 54 1
42 55 1
42 56 1
42 57 1
43 51 1
43 52 1
43 53 1
43 56 1
43 58 1
43 59 1
44 52 1
44 53 1
44 54 1
44 55 1
44 56 1
44 57 1
44 58 1
45 52 1
45 53 1
45 54 1
45 56 1
45 58 1
45 59 1
46 52 1
46 56 1
46 59 1
47 51 1
47 59 1
48 51 1
48 52 1
48 53 1
48 55 1
48 56 1
48 58 1
48 59 1
49 51 1
49 59 1
50 51 1
50 58 1
50 59 1;
