param n:=244;
param p:=108;


param:  E : c  :=
       1      109 1 

       1      110 1 

       1      111 1 

       1      112 1 

       1      113 1 

       1      114 1 

       1      115 1 

       1      116 1 

       2      117 1 

       2      118 1 

       2      119 1 

       2      120 1 

       2      121 1 

       2      122 1 

       2      123 1 

       2      124 1 

       2      125 1 

       2      126 1 

       2      127 1 

       2      128 1 

       2      129 1 

       3      130 1 

       3      131 1 

       3      132 1 

       3      133 1 

       3      134 1 

       4      118 1 

       4      135 1 

       4      136 1 

       4      137 1 

       5      138 1 

       5      139 1 

       6      121 1 

       6      140 1 

       6      141 1 

       6      142 1 

       6      143 1 

       6      144 1 

       7      109 1 

       7      112 1 

       7      145 1 

       8      146 1 

       8      147 1 

       8      148 1 

       8      149 1 

       8      150 1 

       8      151 1 

       8      152 1 

       8      166 1 

       9      135 1 

       9      153 1 

      10      154 1 

      10      155 1 

      11      149 1 

      11      156 1 

      11      157 1 

      12      133 1 

      13      158 1 

      13      159 1 

      14      136 1 

      14      140 1 

      14      142 1 

      15      122 1 

      15      160 1 

      15      161 1 

      16      113 1 

      16      115 1 

      16      162 1 

      17      118 1 

      17      122 1 

      17      163 1 

      17      164 1 

      17      165 1 

      19      146 1 

      19      147 1 

      19      148 1 

      19      149 1 

      19      150 1 

      19      151 1 

      19      152 1 

      19      166 1 

      20      129 1 

      21      116 1 

      23      112 1 

      24      146 1 

      24      147 1 

      24      148 1 

      24      149 1 

      24      150 1 

      24      151 1 

      24      152 1 

      24      166 1 

      26      146 1 

      26      147 1 

      26      148 1 

      26      149 1 

      26      150 1 

      26      151 1 

      26      152 1 

      26      166 1 

      27      118 1 

      27      125 1 

      28      110 1 

      28      156 1 

      28      167 1 

      28      168 1 

      29      117 1 

      29      120 1 

      29      121 1 

      29      122 1 

      29      126 1 

      30      122 1 

      30      163 1 

      30      164 1 

      30      169 1 

      31      170 1 

      32      158 1  

      32      159 1 

      33      118 1 

      33      155 1 

      33      161 1 

      33      167 1 

      34      171 1 

      35      127 1 

      36      157 1 

      38      172 1 

      38      173 1 

      38      174 1 

      39      172 1 

      39      173 1 

      39      174 1 

      39      175 1 

      45      117 1 

      45      160 1 

      45      175 1 

      46      120 1 

      46      128 1 

      46      153 1 

      46      176 1 

      48      150 1 

      50      112 1 

      51      133 1 

      51      163 1 

      51      164 1 

      51      165 1 

      53      114 1 

      53      118 1 

      53      122 1 

      53      131 1 

      53      177 1 

      55      178 1 

      55      179 1 

      56      180 1 

      58      118 1 

      58      173 1 

      58      181 1 

      59      168 1 

      59      182 1 

      59      192 1 

      61      168 1 

      61      183 1 

      61      184 1 

      62      123 1 

      63      111 1 

      64      157 1 

      65      119 1 

      65      145 1 

      65      169 1 

      65      185 1 

      65      186 1 

      65      187 1 

      65      188 1 

      65      189 1 

      66      170 1 

      66      190 1 

      66      191 1 

      66      192 1 

      66      193 1 

      66      194 1 

      66      195 1 

      66      196 1 

      67      121 1 

      67      168 1 

      67      178 1 

      67      182 1 

      67      197 1 

      67      198 1 

      67      199 1 

      67      200 1 

      68      110 1 

      68      201 1 

      68      202 1 

      68      203 1 

      68      204 1 

      68      205 1 

      68      206 1 

      68      207 1 

      68      208 1 

      69      162 1 

      69      163 1 

      69      176 1 

      69      209 1 

      69      210 1 

      69      211 1 

      69      212 1 

      69      213 1 

      69      214 1 

      69      215 1 

      70      183 1 

      70      216 1 

      70      217 1 

      70      218 1 

      71      118 1 

      71      122 1 

      71      127 1 

      71      130 1 

      71      181 1 

      71      219 1 

      72      138 1 

      72      139 1 

      73      109 1 

      73      119 1 

      73      134 1 

      73      137 1 

      73      186 1 

      73      188 1 

      73      197 1 

      73      205 1 

      73      207 1 

      73      216 1 

      73      220 1 

      73      221 1 

      74      143 1 

      74      170 1 

      74      202 1 

      74      203 1 

      74      208 1 

      74      217 1 

      75      187 1 

      75      209 1 

      75      218 1 

      75      222 1 

      75      223 1 

      76      118 1 

      76      129 1 

      76      169 1 

      76      180 1 

      76      185 1 

      76      201 1 

      76      210 1 

      76      224 1 

      76      225 1 

      77      200 1 

      77      226 1 

      77      227 1 

      78      190 1 

      78      193 1 

      78      201 1 

      78      228 1 

      78      229 1 

      79      141 1 

      79      147 1 

      80      132 1 

      80      213 1 

      80      214 1 

      80      215 1 

      81      116 1 

      81      177 1 

      81      195 1 

      81      196 1 

      82      121 1 

      82      191 1 

      82      199 1 

      82      230 1 

      82      231 1 

      83      130 1 

      83      162 1 

      83      194 1 

      83      211 1 

      84      184 1 

      84      198 1 

      84      219 1 

      84      232 1 

